epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,545.78,1.06413,2.95301,1.32388,0.9332,0.25587,0.51019,0.37599,1.08791,3.08316,1.35756,0.000329268,0.000329268,0.000329268
2,927.404,1.15508,2.15352,1.37962,0.62174,0.47122,0.49829,0.35478,1.25709,2.3233,1.54737,0.000597004,0.000597004,0.000597004
3,1305.26,1.20377,1.98575,1.41896,0.63575,0.45739,0.49219,0.34937,1.35293,2.56144,1.6006,0.00079874,0.00079874,0.00079874
4,2483.07,1.17908,1.87047,1.38145,0.55567,0.54789,0.54176,0.3778,1.29857,2.40157,1.48834,0.000703,0.000703,0.000703
5,4987.17,1.11473,1.68075,1.34311,0.64688,0.5541,0.59806,0.42659,1.17239,1.82528,1.38505,0.000604,0.000604,0.000604
6,5381.21,1.05644,1.52938,1.29075,0.80464,0.57709,0.67533,0.50313,1.08496,1.57053,1.32696,0.000505,0.000505,0.000505
7,5761.09,0.97325,1.36184,1.24405,0.76514,0.65061,0.70567,0.53177,1.06115,1.41395,1.307,0.000406,0.000406,0.000406
8,6146,0.93092,1.26579,1.20726,0.73483,0.66262,0.7003,0.53647,0.98011,1.34381,1.25424,0.000307,0.000307,0.000307
9,6522.74,0.87089,1.14144,1.15868,0.76628,0.67383,0.73212,0.57133,0.95432,1.25219,1.21568,0.000208,0.000208,0.000208
10,6924.36,0.8118,1.06917,1.12924,0.77481,0.69133,0.74155,0.59415,0.87387,1.2324,1.16826,0.000109,0.000109,0.000109
